epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.799,3.48424,4.14533,1.09287,0,0,0,0,4.49627,5.31968,1.56116,0.0700113,0.00333207,0.00333207
2,504.7,3.37551,3.2624,1.06772,0.01262,0.75589,0.01521,0.00429,3.03486,2.93933,1.05159,0.0399784,0.00663241,0.00663241
3,753.399,3.33654,3.18945,1.06038,0.01297,0.77767,0.01407,0.00418,2.9483,2.87541,1.0377,0.00991236,0.00989975,0.00989975
4,1000.41,3.31301,3.12843,1.05458,0.01323,0.79377,0.01664,0.00472,2.94832,2.80373,1.03593,0.0098515,0.0098515,0.0098515
5,1250.74,3.29557,3.09159,1.04982,0.01287,0.7721,0.02065,0.00558,3.02608,2.80147,1.04389,0.009802,0.009802,0.009802
6,1500.29,3.26884,3.06055,1.04541,0.0138,0.82762,0.02096,0.00592,2.91981,2.74099,1.02528,0.0097525,0.0097525,0.0097525
7,1750.08,3.25907,3.02747,1.04303,0.01412,0.84698,0.02663,0.00736,2.8721,2.68322,1.02117,0.009703,0.009703,0.009703
8,1999.83,3.24153,3.00713,1.03938,0.01445,0.86671,0.02943,0.0082,2.8359,2.67446,1.01424,0.0096535,0.0096535,0.0096535
9,2248.35,3.22177,2.99414,1.03634,0.01428,0.8564,0.02943,0.00856,2.86424,2.66222,1.01824,0.009604,0.009604,0.009604
10,2497.7,3.20676,2.96582,1.03298,0.01496,0.89737,0.0335,0.00969,2.78132,2.61479,1.00672,0.0095545,0.0095545,0.0095545
11,2749.04,3.18836,2.94567,1.03007,0.0152,0.91159,0.03552,0.01013,2.73662,2.58169,1.00019,0.009505,0.009505,0.009505
12,2997.1,3.16821,2.93282,1.02744,0.01553,0.93163,0.04258,0.01264,2.67516,2.53141,0.99139,0.0094555,0.0094555,0.0094555
13,3244.46,3.1477,2.91868,1.02407,0.01559,0.93527,0.04287,0.01296,2.67806,2.53723,0.99266,0.009406,0.009406,0.009406
14,3492.74,3.13417,2.90095,1.02189,0.01564,0.93523,0.04592,0.01416,2.64677,2.50653,0.98956,0.0093565,0.0093565,0.0093565
15,3740.98,3.11148,2.88021,1.01949,0.01559,0.93376,0.05107,0.01583,2.67293,2.49991,0.99255,0.009307,0.009307,0.009307
16,3988.49,3.09661,2.87144,1.01617,0.01554,0.93083,0.05045,0.0155,2.66194,2.49794,0.9912,0.0092575,0.0092575,0.0092575
17,4236.01,3.08079,2.86037,1.01368,0.01553,0.92926,0.05415,0.01699,2.62352,2.47787,0.98713,0.009208,0.009208,0.009208
18,4483.55,3.06658,2.84844,1.01174,0.01556,0.93128,0.05574,0.0178,2.61341,2.47754,0.98646,0.0091585,0.0091585,0.0091585
19,4730.18,3.06543,2.84734,1.01184,0.01558,0.93162,0.05767,0.01858,2.59329,2.46732,0.98394,0.009109,0.009109,0.009109
20,4978.78,3.05046,2.83133,1.00924,0.01557,0.93122,0.05795,0.01861,2.59769,2.47076,0.98443,0.0090595,0.0090595,0.0090595
21,5226.87,3.04122,2.82419,1.00873,0.01558,0.92901,0.0593,0.01911,2.5867,2.46156,0.98326,0.00901,0.00901,0.00901
22,5474.67,3.03323,2.81946,1.00676,0.0155,0.92484,0.0586,0.01874,2.60522,2.47038,0.9859,0.0089605,0.0089605,0.0089605
23,5724.78,3.02047,2.81345,1.00485,0.0155,0.9238,0.05987,0.01935,2.60098,2.46528,0.98535,0.008911,0.008911,0.008911
24,5972.91,2.99747,2.7947,1.00239,0.01551,0.92446,0.06075,0.01977,2.59338,2.4611,0.98472,0.0088615,0.0088615,0.0088615
25,6221.55,3.0007,2.79784,1.00283,0.01546,0.92177,0.06066,0.01966,2.59719,2.4632,0.98553,0.008812,0.008812,0.008812
26,6469.3,2.99617,2.7898,1.00201,0.01544,0.9206,0.06055,0.01963,2.6008,2.46405,0.98605,0.0087625,0.0087625,0.0087625
27,6718.6,2.98228,2.78162,1.0006,0.01542,0.91975,0.06095,0.01967,2.6039,2.46491,0.98652,0.008713,0.008713,0.008713
28,6970.57,2.9695,2.7717,0.99833,0.01541,0.91886,0.06116,0.01983,2.60438,2.46402,0.98672,0.0086635,0.0086635,0.0086635
29,7221.52,2.96415,2.76622,0.99799,0.01541,0.91871,0.06168,0.02011,2.60418,2.46087,0.9867,0.008614,0.008614,0.008614
30,7470.59,2.9724,2.76577,0.99791,0.01541,0.91858,0.06224,0.02046,2.60274,2.45894,0.98653,0.0085645,0.0085645,0.0085645
31,7720.85,2.95548,2.76599,0.9969,0.01541,0.91862,0.06273,0.02071,2.59905,2.45654,0.98599,0.008515,0.008515,0.008515
32,7968.96,2.94647,2.74986,0.99434,0.0154,0.91818,0.06319,0.02088,2.59596,2.45493,0.98569,0.0084655,0.0084655,0.0084655
33,8217.41,2.94467,2.75185,0.99489,0.01537,0.91606,0.06285,0.02071,2.59703,2.45694,0.98595,0.008416,0.008416,0.008416
34,8468.35,2.93419,2.74944,0.99312,0.01535,0.91445,0.06214,0.02042,2.59556,2.45759,0.98576,0.0083665,0.0083665,0.0083665
35,8716.71,2.93444,2.74477,0.99305,0.01531,0.91217,0.06164,0.02025,2.5941,2.45872,0.98574,0.008317,0.008317,0.008317
36,8966.4,2.93259,2.73968,0.99281,0.01528,0.91059,0.06088,0.01989,2.60022,2.46317,0.9866,0.0082675,0.0082675,0.0082675
