epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1823,1.10442,1.55385,0.94915,0.99909,0.99965,0.99498,0.88203,0.52241,0.50463,0.80089,0.000332,0.000332,0.000332
2,50.3541,0.58539,0.60171,0.81381,0.99925,1,0.995,0.94931,0.30968,0.33725,0.77216,0.000658747,0.000658747,0.000658747
3,72.9167,0.50915,0.48968,0.8032,0.99974,1,0.995,0.94255,0.31935,0.30704,0.77211,0.000978893,0.000978893,0.000978893
4,94.9545,0.46813,0.4263,0.79771,0.99956,1,0.995,0.95879,0.28721,0.28547,0.76989,0.0009703,0.0009703,0.0009703
5,116.452,0.42862,0.36918,0.79296,0.99977,1,0.995,0.97116,0.25056,0.24421,0.76656,0.0009604,0.0009604,0.0009604
6,140.241,0.3966,0.33996,0.78878,0.99983,1,0.995,0.98241,0.22359,0.21499,0.76317,0.0009505,0.0009505,0.0009505
7,171.17,0.37608,0.30025,0.78463,0.9998,1,0.995,0.97342,0.26046,0.21637,0.76799,0.0009406,0.0009406,0.0009406
8,192.991,0.34821,0.28108,0.78475,0.99973,1,0.995,0.98372,0.21623,0.20089,0.76367,0.0009307,0.0009307,0.0009307
9,230.227,0.33398,0.26776,0.77969,0.99984,1,0.995,0.98984,0.20387,0.18536,0.76093,0.0009208,0.0009208,0.0009208
10,252.067,0.32242,0.26168,0.78053,0.9998,1,0.995,0.99182,0.1881,0.17232,0.7609,0.0009109,0.0009109,0.0009109
11,290.352,0.31919,0.24639,0.77865,0.9998,1,0.995,0.99017,0.19611,0.17286,0.76038,0.000901,0.000901,0.000901
12,312.912,0.30326,0.24099,0.77862,0.99985,1,0.995,0.98848,0.19051,0.16694,0.76087,0.0008911,0.0008911,0.0008911
13,348.517,0.29588,0.23943,0.77961,0.99982,1,0.995,0.99031,0.18847,0.16341,0.75974,0.0008812,0.0008812,0.0008812
14,370.387,0.29414,0.22876,0.77639,0.99981,1,0.995,0.99314,0.18585,0.15987,0.75814,0.0008713,0.0008713,0.0008713
15,407.644,0.28173,0.22353,0.77681,0.99985,1,0.995,0.99243,0.18791,0.15181,0.75969,0.0008614,0.0008614,0.0008614
16,428.548,0.28299,0.223,0.77568,0.99979,1,0.995,0.99235,0.1735,0.15157,0.75878,0.0008515,0.0008515,0.0008515
17,466.154,0.27402,0.21121,0.77484,0.99984,1,0.995,0.99484,0.1477,0.14056,0.75647,0.0008416,0.0008416,0.0008416
18,487.935,0.2643,0.20375,0.77461,0.99984,1,0.995,0.99488,0.15534,0.14263,0.75753,0.0008317,0.0008317,0.0008317
19,510.372,0.26326,0.20784,0.77386,0.99982,1,0.995,0.99437,0.17587,0.14591,0.75673,0.0008218,0.0008218,0.0008218
20,532.764,0.26159,0.2043,0.7731,0.99978,1,0.995,0.99489,0.14154,0.13596,0.75693,0.0008119,0.0008119,0.0008119
21,557.777,0.26162,0.20175,0.77387,0.99984,1,0.995,0.99483,0.14091,0.13039,0.75657,0.000802,0.000802,0.000802
22,580.105,0.24842,0.19198,0.77183,0.99986,1,0.995,0.99485,0.15276,0.12731,0.75703,0.0007921,0.0007921,0.0007921
23,602.644,0.25005,0.19137,0.77263,0.99985,1,0.995,0.99482,0.13987,0.12964,0.75598,0.0007822,0.0007822,0.0007822
24,625.008,0.24941,0.19271,0.77205,0.99983,1,0.995,0.99486,0.14114,0.12582,0.75634,0.0007723,0.0007723,0.0007723
25,650.55,0.23594,0.1829,0.77223,0.99982,1,0.995,0.9947,0.14879,0.12748,0.75638,0.0007624,0.0007624,0.0007624
26,672.905,0.23632,0.18084,0.7706,0.99986,1,0.995,0.99497,0.14024,0.12314,0.75536,0.0007525,0.0007525,0.0007525
27,695.091,0.22766,0.18238,0.77064,0.99984,1,0.995,0.99492,0.1385,0.12269,0.75498,0.0007426,0.0007426,0.0007426
28,717.826,0.23078,0.18739,0.77042,0.99983,1,0.995,0.99486,0.13515,0.11762,0.75494,0.0007327,0.0007327,0.0007327
29,740.718,0.22964,0.18241,0.77156,0.99983,1,0.995,0.99499,0.13586,0.11859,0.75486,0.0007228,0.0007228,0.0007228
30,765.661,0.2248,0.17923,0.77087,0.99984,1,0.995,0.995,0.11888,0.11049,0.75511,0.0007129,0.0007129,0.0007129
31,788.217,0.21584,0.17559,0.76914,0.9998,1,0.995,0.99498,0.12552,0.11324,0.75464,0.000703,0.000703,0.000703
32,811.539,0.22083,0.17192,0.77015,0.9999,1,0.995,0.99492,0.12742,0.11321,0.75514,0.0006931,0.0006931,0.0006931
33,834.121,0.21689,0.16977,0.7694,0.99983,1,0.995,0.995,0.11825,0.10635,0.75359,0.0006832,0.0006832,0.0006832
34,859.089,0.21567,0.16747,0.76983,0.99986,1,0.995,0.99499,0.12083,0.10882,0.75421,0.0006733,0.0006733,0.0006733
35,881.773,0.21459,0.17051,0.76898,0.99987,1,0.995,0.99496,0.1253,0.10836,0.75564,0.0006634,0.0006634,0.0006634
36,903.629,0.2107,0.16973,0.76805,0.99984,1,0.995,0.995,0.11706,0.10453,0.75429,0.0006535,0.0006535,0.0006535
37,926.268,0.20471,0.16254,0.76805,0.99986,1,0.995,0.99499,0.10563,0.09885,0.75304,0.0006436,0.0006436,0.0006436
38,949.28,0.2054,0.16335,0.76794,0.99985,1,0.995,0.99498,0.10683,0.09819,0.75345,0.0006337,0.0006337,0.0006337
39,974.184,0.20732,0.16571,0.76859,0.9999,1,0.995,0.995,0.11259,0.10055,0.75344,0.0006238,0.0006238,0.0006238
40,997.921,0.19937,0.15897,0.76891,0.99991,1,0.995,0.99499,0.10845,0.09831,0.75353,0.0006139,0.0006139,0.0006139
41,1021.18,0.19478,0.15855,0.76819,0.99987,1,0.995,0.995,0.10274,0.09557,0.75406,0.000604,0.000604,0.000604
42,1044.29,0.19241,0.15787,0.76864,0.99986,1,0.995,0.99497,0.11759,0.10083,0.75481,0.0005941,0.0005941,0.0005941
43,1068.95,0.19369,0.15793,0.768,0.99987,1,0.995,0.995,0.10508,0.09548,0.75409,0.0005842,0.0005842,0.0005842
44,1091.34,0.18223,0.14687,0.76564,0.99984,1,0.995,0.99499,0.09961,0.09204,0.75367,0.0005743,0.0005743,0.0005743
45,1114.51,0.1919,0.15412,0.76774,0.99985,1,0.995,0.995,0.10279,0.08964,0.75349,0.0005644,0.0005644,0.0005644
46,1136.89,0.18997,0.15318,0.76735,0.99986,1,0.995,0.995,0.10945,0.09597,0.75306,0.0005545,0.0005545,0.0005545
47,1159.66,0.18335,0.14843,0.76862,0.99986,1,0.995,0.995,0.09978,0.0912,0.75347,0.0005446,0.0005446,0.0005446
48,1184.74,0.18585,0.15217,0.76771,0.99978,1,0.995,0.995,0.10906,0.09443,0.75323,0.0005347,0.0005347,0.0005347
49,1207.1,0.17716,0.14083,0.76695,0.99988,1,0.995,0.995,0.09871,0.08866,0.7537,0.0005248,0.0005248,0.0005248
50,1229.92,0.18,0.15016,0.76644,0.99989,1,0.995,0.995,0.09915,0.0898,0.75324,0.0005149,0.0005149,0.0005149
51,1252.86,0.18015,0.15017,0.76645,0.99985,1,0.995,0.995,0.10342,0.0901,0.75395,0.000505,0.000505,0.000505
52,1277.6,0.17419,0.14118,0.76534,0.99989,1,0.995,0.995,0.09264,0.08536,0.75246,0.0004951,0.0004951,0.0004951
53,1300.42,0.172,0.13822,0.76534,0.99987,1,0.995,0.99498,0.09337,0.08548,0.75287,0.0004852,0.0004852,0.0004852
54,1323.05,0.17154,0.14038,0.76626,0.99993,1,0.995,0.995,0.09481,0.08457,0.75273,0.0004753,0.0004753,0.0004753
55,1345.78,0.16799,0.13928,0.76646,0.99986,1,0.995,0.995,0.09163,0.08354,0.75269,0.0004654,0.0004654,0.0004654
56,1369.59,0.16606,0.1348,0.7655,0.99989,1,0.995,0.995,0.09019,0.0803,0.75334,0.0004555,0.0004555,0.0004555
57,1394.36,0.17078,0.13797,0.76691,0.9999,1,0.995,0.995,0.08996,0.08222,0.75261,0.0004456,0.0004456,0.0004456
58,1417.57,0.16731,0.13592,0.76507,0.9999,1,0.995,0.995,0.08929,0.08061,0.75288,0.0004357,0.0004357,0.0004357
59,1440.83,0.16392,0.13437,0.76594,0.99989,1,0.995,0.995,0.09057,0.08135,0.75245,0.0004258,0.0004258,0.0004258
60,1462.98,0.16302,0.1311,0.76622,0.99988,1,0.995,0.995,0.08556,0.077,0.75239,0.0004159,0.0004159,0.0004159
61,1484.8,0.16054,0.13598,0.76533,0.99989,1,0.995,0.995,0.09032,0.08054,0.753,0.000406,0.000406,0.000406
62,1509.81,0.16035,0.1326,0.76616,0.99989,1,0.995,0.995,0.08702,0.07864,0.75194,0.0003961,0.0003961,0.0003961
63,1532.5,0.1631,0.13211,0.76558,0.99989,1,0.995,0.995,0.08375,0.07667,0.75223,0.0003862,0.0003862,0.0003862
64,1555.72,0.15935,0.13254,0.76563,0.99986,1,0.995,0.995,0.0861,0.07737,0.75234,0.0003763,0.0003763,0.0003763
65,1577.66,0.15488,0.12891,0.7631,0.99993,1,0.995,0.995,0.08496,0.0756,0.75239,0.0003664,0.0003664,0.0003664
66,1602.94,0.15469,0.12767,0.76568,0.99989,1,0.995,0.995,0.08413,0.07516,0.75181,0.0003565,0.0003565,0.0003565
67,1625.94,0.15548,0.12947,0.76563,0.99989,1,0.995,0.995,0.08496,0.07475,0.75237,0.0003466,0.0003466,0.0003466
68,1647.98,0.15189,0.12431,0.76609,0.99996,1,0.995,0.995,0.08504,0.07379,0.75172,0.0003367,0.0003367,0.0003367
69,1670,0.15051,0.12519,0.76323,0.99995,1,0.995,0.995,0.08007,0.07163,0.75184,0.0003268,0.0003268,0.0003268
70,1695.04,0.15013,0.12343,0.76666,0.99993,1,0.995,0.995,0.08046,0.07178,0.75153,0.0003169,0.0003169,0.0003169
71,1718.65,0.14755,0.11989,0.76397,0.99989,1,0.995,0.995,0.08079,0.0711,0.75201,0.000307,0.000307,0.000307
72,1741.85,0.14591,0.11861,0.76413,0.99991,1,0.995,0.995,0.0785,0.06926,0.75193,0.0002971,0.0002971,0.0002971
73,1764.9,0.14634,0.11868,0.76569,0.99993,1,0.995,0.995,0.07887,0.06957,0.75186,0.0002872,0.0002872,0.0002872
74,1787.55,0.1446,0.11802,0.76666,0.99991,1,0.995,0.995,0.07837,0.06924,0.75156,0.0002773,0.0002773,0.0002773
75,1812.55,0.14282,0.11869,0.76641,0.99993,1,0.995,0.995,0.07961,0.06905,0.75216,0.0002674,0.0002674,0.0002674
76,1835.09,0.14067,0.11607,0.76423,0.99993,1,0.995,0.995,0.07816,0.0674,0.75183,0.0002575,0.0002575,0.0002575
77,1858.14,0.14456,0.11886,0.76446,0.99989,1,0.995,0.995,0.07725,0.06752,0.75214,0.0002476,0.0002476,0.0002476
78,1880.34,0.14291,0.12055,0.76432,0.99996,1,0.995,0.995,0.07703,0.06708,0.75148,0.0002377,0.0002377,0.0002377
79,1902.83,0.13879,0.11346,0.76264,0.99991,1,0.995,0.995,0.07628,0.06597,0.7517,0.0002278,0.0002278,0.0002278
80,1927.77,0.13722,0.11075,0.76388,0.99991,1,0.995,0.995,0.07581,0.06593,0.75177,0.0002179,0.0002179,0.0002179
