epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.24114,2.76703,4.19431,1.65391,0.01322,0.25755,0.03945,0.01237,2.18992,4.2416,1.39626,4e-05,4e-05,4e-05
2,1.85149,2.57606,4.18649,1.71096,0.00464,0.21997,0.04248,0.00882,2.03733,4.21743,1.32355,8.9109e-05,8.9109e-05,8.9109e-05
3,2.44422,2.27275,4.015,1.39605,0.00684,0.35589,0.0579,0.02391,1.8815,4.14636,1.20577,0.000137228,0.000137228,0.000137228
4,3.1425,1.88772,3.9404,1.13049,0.03183,0.74529,0.10997,0.04483,1.75174,4.17599,1.08881,0.000184357,0.000184357,0.000184357
5,3.75652,1.84459,3.72043,1.10437,0.02855,0.82027,0.11424,0.0509,1.72079,4.21014,1.06295,0.000230496,0.000230496,0.000230496
6,4.37265,1.84724,3.59063,1.04003,0.02242,0.89575,0.14681,0.06826,1.67283,4.16868,1.03919,0.000275645,0.000275645,0.000275645
7,5.02386,1.69387,3.40498,1.0833,0.01877,0.85444,0.17193,0.06706,1.55592,4.13076,0.99553,0.000319804,0.000319804,0.000319804
8,5.67771,1.60958,3.28366,1.03289,0.01877,0.85444,0.17193,0.06706,1.55592,4.13076,0.99553,0.000362973,0.000362973,0.000362973
9,6.32877,1.65292,3.20021,1.0165,0.01859,0.90761,0.19951,0.0801,1.43491,4.07708,0.95668,0.000405152,0.000405152,0.000405152
10,6.97994,1.60807,3.11911,1.07209,0.0192,0.94734,0.21777,0.09358,1.42884,3.95855,0.94891,0.000446341,0.000446341,0.000446341
11,7.59302,1.54185,2.80316,0.98077,0.0192,0.94734,0.21777,0.09358,1.42884,3.95855,0.94891,0.00048654,0.00048654,0.00048654
12,8.23791,1.55545,2.8704,1.00408,0.01729,0.88157,0.15403,0.05754,1.47194,3.82385,0.96229,0.000525749,0.000525749,0.000525749
13,8.87894,1.52476,2.73253,0.99597,0.01729,0.88157,0.15403,0.05754,1.47194,3.82385,0.96229,0.000563968,0.000563968,0.000563968
14,9.56472,1.52479,2.59482,1.00405,0.01729,0.88157,0.15403,0.05754,1.47194,3.82385,0.96229,0.000601197,0.000601197,0.000601197
15,10.2468,1.52247,2.58492,0.98827,0.42021,0.21053,0.29509,0.13286,1.40967,3.50921,0.95736,0.000637436,0.000637436,0.000637436
16,10.8864,1.448,2.38622,0.99551,0.42021,0.21053,0.29509,0.13286,1.40967,3.50921,0.95736,0.000672685,0.000672685,0.000672685
17,11.4977,1.46092,2.40004,0.9666,0.42021,0.21053,0.29509,0.13286,1.40967,3.50921,0.95736,0.000706944,0.000706944,0.000706944
18,12.1123,1.38134,2.12539,1.04193,0.97078,0.05643,0.37058,0.15847,1.42108,3.15106,1.04274,0.000740213,0.000740213,0.000740213
19,12.7512,1.42088,2.12982,1.00312,0.97078,0.05643,0.37058,0.15847,1.42108,3.15106,1.04274,0.000772492,0.000772492,0.000772492
20,13.3407,1.38846,2.10926,0.97485,0.97078,0.05643,0.37058,0.15847,1.42108,3.15106,1.04274,0.000803781,0.000803781,0.000803781
21,13.9327,1.40157,1.87786,1.00423,0.7574,0.32224,0.53777,0.2809,1.38057,2.53454,1.06485,0.000802,0.000802,0.000802
22,14.5164,1.34606,1.82159,0.96442,0.7574,0.32224,0.53777,0.2809,1.38057,2.53454,1.06485,0.0007921,0.0007921,0.0007921
23,15.1221,1.41588,2.03798,1.05956,0.7574,0.32224,0.53777,0.2809,1.38057,2.53454,1.06485,0.0007822,0.0007822,0.0007822
24,15.7444,1.46252,1.84053,1.03619,0.5493,0.62104,0.69197,0.3946,1.35001,1.9361,1.03087,0.0007723,0.0007723,0.0007723
25,16.332,1.34587,1.74454,0.97238,0.5493,0.62104,0.69197,0.3946,1.35001,1.9361,1.03087,0.0007624,0.0007624,0.0007624
26,16.9228,1.30639,1.7584,0.96633,0.5493,0.62104,0.69197,0.3946,1.35001,1.9361,1.03087,0.0007525,0.0007525,0.0007525
27,17.5807,1.29133,1.82067,1.01544,0.65044,0.73368,0.73003,0.43745,1.32999,1.65905,1.0442,0.0007426,0.0007426,0.0007426
28,18.1793,1.17815,1.60507,0.9339,0.65044,0.73368,0.73003,0.43745,1.32999,1.65905,1.0442,0.0007327,0.0007327,0.0007327
29,18.8115,1.29526,1.77845,1.03017,0.65044,0.73368,0.73003,0.43745,1.32999,1.65905,1.0442,0.0007228,0.0007228,0.0007228
30,19.4637,1.32264,1.76787,0.99734,0.58407,0.83241,0.79533,0.49484,1.36537,1.4821,1.08895,0.0007129,0.0007129,0.0007129
31,20.1187,1.29704,1.52337,0.96192,0.58407,0.83241,0.79533,0.49484,1.36537,1.4821,1.08895,0.000703,0.000703,0.000703
32,20.7321,1.22112,1.57557,0.96484,0.58407,0.83241,0.79533,0.49484,1.36537,1.4821,1.08895,0.0006931,0.0006931,0.0006931
33,21.3476,1.2706,1.45893,0.99282,0.58407,0.83241,0.79533,0.49484,1.36537,1.4821,1.08895,0.0006832,0.0006832,0.0006832
34,21.9857,1.21963,1.46078,1.00765,0.7181,0.87826,0.91524,0.62053,1.22909,1.29608,1.04578,0.0006733,0.0006733,0.0006733
35,22.6115,1.10246,1.47409,0.93955,0.7181,0.87826,0.91524,0.62053,1.22909,1.29608,1.04578,0.0006634,0.0006634,0.0006634
36,23.1831,1.1865,1.48372,1.00237,0.7181,0.87826,0.91524,0.62053,1.22909,1.29608,1.04578,0.0006535,0.0006535,0.0006535
37,23.8268,1.16765,1.46545,0.88857,0.7844,0.93381,0.96625,0.67064,1.14572,1.15296,1.0019,0.0006436,0.0006436,0.0006436
38,24.4894,1.10433,1.41631,0.93864,0.7844,0.93381,0.96625,0.67064,1.14572,1.15296,1.0019,0.0006337,0.0006337,0.0006337
39,25.0956,1.15773,1.36476,0.96786,0.7844,0.93381,0.96625,0.67064,1.14572,1.15296,1.0019,0.0006238,0.0006238,0.0006238
40,25.7182,1.09565,1.45382,0.95307,0.85263,0.91856,0.97626,0.70575,1.08925,1.07689,0.99293,0.0006139,0.0006139,0.0006139
41,26.3364,1.04697,1.3208,0.94651,0.85263,0.91856,0.97626,0.70575,1.08925,1.07689,0.99293,0.000604,0.000604,0.000604
42,26.968,1.07032,1.46138,0.93235,0.85263,0.91856,0.97626,0.70575,1.08925,1.07689,0.99293,0.0005941,0.0005941,0.0005941
