epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.937,3.46368,5.7704,1.15765,0.01057,0.56434,0.01304,0.00351,3.0829,3.13295,1.06403,0.00333081,0.00333081,0.00333081
2,915.545,2.53591,2.2659,0.93292,0.26436,0.44038,0.20982,0.08108,2.06017,1.93107,0.91324,0.00659817,0.00659817,0.00659817
3,1346.96,2.16718,1.93518,0.89479,0.00365,0.20609,0.00226,0.00062,3.29881,3.51119,1.1091,0.00979953,0.00979953,0.00979953
4,1778.75,1.86915,1.76431,0.87101,0.32681,0.9195,0.33355,0.23774,1.02681,1.28793,0.83271,0.009703,0.009703,0.009703
5,2209.65,1.58751,1.61504,0.84968,0.30162,0.86374,0.31261,0.17103,1.55699,1.46057,0.85916,0.009604,0.009604,0.009604
6,2636.78,1.4299,1.54589,0.83913,0.3314,0.97278,0.33637,0.27913,0.70736,1.17463,0.81935,0.009505,0.009505,0.009505
7,3066.26,1.33219,1.50636,0.83289,0.3313,0.97685,0.33619,0.28554,0.62814,1.14971,0.81673,0.009406,0.009406,0.009406
8,3492.95,1.2627,1.48212,0.82913,0.33205,0.98327,0.33614,0.29253,0.59264,1.13348,0.81239,0.009307,0.009307,0.009307
9,3923.89,1.20263,1.45456,0.82476,0.3321,0.98687,0.3368,0.29116,0.58627,1.12216,0.81315,0.009208,0.009208,0.009208
10,4353.62,1.16539,1.44303,0.82227,0.33234,0.99039,0.33506,0.30398,0.46534,1.10186,0.81038,0.009109,0.009109,0.009109
11,4781.24,1.13186,1.43089,0.82007,0.33253,0.99028,0.33702,0.30682,0.44877,1.0949,0.80997,0.00901,0.00901,0.00901
12,5211.25,1.09782,1.41746,0.8184,0.33263,0.99175,0.33797,0.31213,0.40855,1.08536,0.80781,0.008911,0.008911,0.008911
13,5639.56,1.07265,1.41144,0.81694,0.33278,0.99365,0.33693,0.31348,0.37522,1.07798,0.80731,0.008812,0.008812,0.008812
14,6071,1.04933,1.40019,0.81491,0.33288,0.99401,0.33699,0.31647,0.36145,1.07171,0.80643,0.008713,0.008713,0.008713
15,6499.21,1.02971,1.39262,0.81362,0.33294,0.99414,0.33714,0.31793,0.33927,1.06579,0.80584,0.008614,0.008614,0.008614
16,6929.95,1.01244,1.38681,0.81265,0.33287,0.99495,0.33703,0.32023,0.32275,1.06147,0.8052,0.008515,0.008515,0.008515
17,7360.59,0.99576,1.37989,0.81205,0.33295,0.9954,0.33639,0.31988,0.30872,1.0575,0.80504,0.008416,0.008416,0.008416
18,7787.22,0.98448,1.3787,0.81108,0.33305,0.99595,0.33756,0.32181,0.29463,1.05363,0.80465,0.008317,0.008317,0.008317
19,8217.14,0.96981,1.37321,0.81045,0.333,0.99609,0.33741,0.32273,0.29031,1.05153,0.80418,0.008218,0.008218,0.008218
20,8645.72,0.95957,1.37075,0.80891,0.33299,0.99632,0.33644,0.32237,0.28849,1.04977,0.80381,0.008119,0.008119,0.008119
21,9076.47,0.94597,1.36598,0.80943,0.33304,0.99641,0.3365,0.32267,0.28062,1.04762,0.80365,0.00802,0.00802,0.00802
22,9504.32,0.93641,1.36228,0.80817,0.33304,0.99657,0.33621,0.32285,0.27522,1.04568,0.80345,0.007921,0.007921,0.007921
23,9934.16,0.92842,1.35859,0.80745,0.33306,0.99674,0.33623,0.32329,0.27132,1.04412,0.80322,0.007822,0.007822,0.007822
24,10363.8,0.91382,1.35446,0.80693,0.3331,0.99702,0.33604,0.32354,0.26421,1.0422,0.80307,0.007723,0.007723,0.007723
25,10791,0.91233,1.35464,0.8066,0.33313,0.99702,0.33713,0.32457,0.26087,1.0409,0.80295,0.007624,0.007624,0.007624
26,11221.2,0.89824,1.34759,0.80563,0.33313,0.99705,0.33659,0.3241,0.258,1.03985,0.80284,0.007525,0.007525,0.007525
27,11647.7,0.89155,1.34851,0.80666,0.33312,0.99723,0.33707,0.32457,0.25464,1.03884,0.80278,0.007426,0.007426,0.007426
28,12078,0.88289,1.34226,0.80509,0.33314,0.99743,0.3376,0.32526,0.25219,1.03796,0.80266,0.007327,0.007327,0.007327
29,12507.3,0.87839,1.34292,0.8054,0.33315,0.99745,0.33757,0.32531,0.25008,1.03713,0.80256,0.007228,0.007228,0.007228
30,12935,0.87029,1.33878,0.80466,0.33315,0.99752,0.33711,0.32499,0.24846,1.03644,0.80245,0.007129,0.007129,0.007129
31,13362.4,0.86224,1.33506,0.80441,0.33313,0.99761,0.33737,0.32525,0.24667,1.03568,0.80235,0.00703,0.00703,0.00703
32,13792.6,0.85313,1.33142,0.80386,0.33315,0.99766,0.33759,0.32542,0.24476,1.03505,0.80226,0.006931,0.006931,0.006931
33,14221.8,0.85096,1.33394,0.80379,0.33315,0.99774,0.3377,0.3256,0.24336,1.03443,0.80217,0.006832,0.006832,0.006832
34,14653.3,0.86392,1.14768,0.80527,0.33314,0.99775,0.33911,0.32707,0.24137,1.03437,0.80201,0.006733,0.006733,0.006733
35,15083,0.88556,0.74967,0.80651,0.33315,0.99784,0.34298,0.33037,0.24059,1.03765,0.8017,0.006634,0.006634,0.006634
36,15513.6,0.87108,0.70795,0.80542,0.33312,0.99779,0.35289,0.3396,0.24021,1.04285,0.8014,0.006535,0.006535,0.006535
37,15942.3,0.86053,0.69109,0.80468,0.33346,0.99659,0.37069,0.35633,0.24056,1.04987,0.80113,0.006436,0.006436,0.006436
38,16372.9,0.8527,0.6828,0.80426,0.33566,0.99155,0.39658,0.38078,0.24128,1.05901,0.80086,0.006337,0.006337,0.006337
39,16800.9,0.84381,0.67269,0.80332,0.34316,0.97606,0.43318,0.41488,0.24321,1.07071,0.80055,0.006238,0.006238,0.006238
40,17232.6,0.83384,0.66228,0.80288,0.35346,0.96569,0.47861,0.45736,0.24477,1.08435,0.80023,0.006139,0.006139,0.006139
41,17663.4,0.83014,0.66195,0.80306,0.36727,0.95946,0.53016,0.50533,0.24667,1.10016,0.79986,0.00604,0.00604,0.00604
42,18092.1,0.81951,0.64508,0.80209,0.38438,0.95445,0.58187,0.5533,0.24935,1.11747,0.7995,0.005941,0.005941,0.005941
43,18522.8,0.81722,0.64641,0.80243,0.40271,0.95171,0.6306,0.59897,0.25084,1.13538,0.79918,0.005842,0.005842,0.005842
44,18949.7,0.81509,0.6439,0.80201,0.42152,0.95005,0.67146,0.6373,0.2512,1.15307,0.79887,0.005743,0.005743,0.005743
45,19379.9,0.80342,0.63482,0.80125,0.44674,0.94309,0.7083,0.67179,0.25186,1.16793,0.79857,0.005644,0.005644,0.005644
46,19808.4,0.79588,0.62951,0.80049,0.47365,0.93125,0.73896,0.70073,0.2521,1.17899,0.79833,0.005545,0.005545,0.005545
47,20239.3,0.79107,0.63028,0.80041,0.50083,0.91749,0.76463,0.72511,0.25253,1.18702,0.79811,0.005446,0.005446,0.005446
48,20668.3,0.78876,0.62447,0.80065,0.52674,0.90282,0.78597,0.74512,0.25336,1.18866,0.79792,0.005347,0.005347,0.005347
49,21096.7,0.78162,0.62099,0.80006,0.55272,0.88486,0.80293,0.76129,0.25339,1.18182,0.7978,0.005248,0.005248,0.005248
50,21527.2,0.77521,0.61703,0.79981,0.57931,0.87356,0.81655,0.77454,0.25198,1.16777,0.79771,0.005149,0.005149,0.005149
51,21959.1,0.77305,0.61681,0.79974,0.60209,0.87006,0.8261,0.78372,0.25116,1.14922,0.79766,0.00505,0.00505,0.00505
52,22390.5,0.76719,0.61249,0.79959,0.62442,0.87208,0.83349,0.79086,0.25034,1.12594,0.79761,0.004951,0.004951,0.004951
53,22818.4,0.75632,0.60178,0.7989,0.64718,0.87249,0.83994,0.79747,0.24859,1.09875,0.79761,0.004852,0.004852,0.004852
54,23249.1,0.75609,0.60857,0.79865,0.66759,0.88143,0.84599,0.80326,0.24747,1.06709,0.79764,0.004753,0.004753,0.004753
55,23678.8,0.74557,0.5958,0.79805,0.68835,0.89307,0.85442,0.81216,0.24585,1.02938,0.7977,0.004654,0.004654,0.004654
56,24108.1,0.74692,0.59906,0.79831,0.70851,0.89916,0.86345,0.82168,0.24448,0.99296,0.79775,0.004555,0.004555,0.004555
57,24537,0.73858,0.59444,0.79763,0.72502,0.90609,0.87165,0.83001,0.24283,0.95459,0.79784,0.004456,0.004456,0.004456
58,24964.8,0.73474,0.5921,0.79792,0.74034,0.91487,0.88301,0.84176,0.24073,0.91109,0.79794,0.004357,0.004357,0.004357
59,25395.1,0.72718,0.58963,0.79757,0.75418,0.92303,0.89755,0.8569,0.23789,0.86311,0.7981,0.004258,0.004258,0.004258
60,25823.3,0.72156,0.58411,0.79692,0.76546,0.93055,0.91109,0.87091,0.2356,0.81921,0.79825,0.004159,0.004159,0.004159
61,26252,0.722,0.58495,0.797,0.77658,0.93742,0.92539,0.88547,0.23279,0.77176,0.7984,0.00406,0.00406,0.00406
62,26679.6,0.71509,0.58267,0.79678,0.78703,0.94452,0.93895,0.8993,0.23043,0.72549,0.79854,0.003961,0.003961,0.003961
63,27111.9,0.70712,0.57437,0.79603,0.79712,0.95226,0.95243,0.91302,0.22832,0.68084,0.79867,0.003862,0.003862,0.003862
